#
# azimuth fiducials
#
# $Name$
#
# Creator:             elenam
# Time:                2008-08-27 06:44:38Z
# Input file:          /mcptpm/54704/mcpFiducials-54704.dat
# Scales:              0.014016533277293478  0.014026309691368999
# Canonical fiducial:  19
# Arguments:           -mjd 54704 -az -y pos1 -time0 1219764171 -time1 1219767449 -canon -reset -scale -tablefile az54704.em
#
# Fiducial Encoder1 +- error  npoint  Encoder2 +- error  npoint
1         -49462061 +-  69.2   6     -49413603 +-  61.6   6
2         -45703656 +-  77.1   6     -45657854 +-  51.0   6
3                 0 +- -9999.0   0             0 +- -9999.0   0
4         -38001773 +-  66.3   6     -37961236 +-  43.5   6
5         -34138696 +-  59.6   6     -34100828 +-  38.3   6
6         -30280181 +-  55.0   6     -30244969 +-  31.6   6
7         -26419852 +-  55.6   6     -26387356 +-  36.8   6
8         -22565107 +-  49.9   6     -22535328 +-  34.8   6
9         -18712296 +-  45.1   6     -18685218 +-  29.5   6
10        -14848956 +-  42.5   6     -14824596 +-  28.3   6
11        -10989798 +-  39.1   6     -10968156 +-  30.6   6
12         -7138021 +-  33.2   6      -7119056 +-  22.0   6
13         -3284574 +-  32.2   6      -3268279 +-  21.5   6
14           574957 +-  29.3   6        588574 +-  20.7   6
15          4425742 +-  24.6   6       4436601 +-  17.5   6
16          8284174 +-  21.3   6       8292238 +-  15.0   6
17         12141879 +-  11.0   6      12147203 +-   7.6   6
18         15991558 +-   9.5   6      15994181 +-   5.6   6
19         19853641 +-   6.8   6      19853641 +-   4.2   6
20         23703534 +-   0.0   6      23700927 +-   0.0   6
21         27561602 +-   4.3   6      27556361 +-   6.7   6
22         31414394 +-   3.7   4      31406515 +-  20.6   4
23         35271119 +-   3.4   4      35260568 +-  23.8   4
24         39155081 +-   3.6   4      39141811 +-  27.4   4
25         43000174 +-   5.3   4      42984186 +-  32.8   4
26         46758580 +-   3.4   4      46739935 +-  34.7   4
27                0 +- -9999.0   0             0 +- -9999.0   0
28         54460462 +-   6.8   4      54436553 +-  43.4   4
29         58323540 +-   6.1   4      58296961 +-  39.5   4
30         62182054 +-  10.5   4      62152820 +-  42.0   4
31         66042384 +-   9.1   4      66010433 +-  38.7   4
32         69897128 +-  13.3   4      69862460 +-  40.1   4
33         73749940 +-  16.4   4      73712571 +-  41.9   4
34         77613279 +-  22.0   4      77573193 +-  45.2   4
35         81472438 +-  16.0   4      81429633 +-  38.7   4
36         85324215 +-  28.1   4      85278733 +-  39.0   4
37         89177662 +-  23.5   4      89129510 +-  43.0   4
38         93037193 +-  32.9   4      92986363 +-  51.7   4
39         96887978 +-  37.1   4      96834390 +-  54.5   4
40        100746409 +-  37.6   4     100690027 +-  50.6   4
41        104604115 +-  48.9   4     104544991 +-  58.0   4
42        108453793 +-  36.1   4     108391970 +-  51.8   4
43        112315876 +-  53.6   4     112251430 +-  49.8   4
