#
# rotator fiducials
#
# $Name$
#
# Creator:             snedden
# Time:                2007-06-06 21:33:09Z
# Input file:          /mcptpm/54255/mcpFiducials-54255.dat
# Scales:              0.021315788986755548  0.021315774873949575
# Canonical fiducial:  75
# Arguments:           -mjd 54255 -rot -y pos1 -reset -scale -canon -time0 1180970980 -time1 1180973306 -x fididx -setCanon 75:2590827 -tablefile rot.dat
#
# Fiducial Encoder1 +- error  npoint  Encoder2 +- error  npoint
1                 0 +- -9999.0   0             0 +- -9999.0   0
2                 0 +- -9999.0   0             0 +- -9999.0   0
3                 0 +- -9999.0   0             0 +- -9999.0   0
4          59386670 +-   2.5   4      59386889 +-   2.9   4
5          58585887 +-   4.0   4      58586106 +-   4.0   4
6          57785113 +-   3.3   4      57785315 +-   2.9   4
7          56984317 +-   2.2   4      56984535 +-   3.5   4
8          56183527 +-   3.1   4      56183746 +-   3.2   4
9          55382738 +-   5.0   4      55382956 +-   3.7   4
10         54581950 +-   1.9   4      54582176 +-   4.2   4
11         53781140 +-   2.5   4      53781381 +-   2.8   4
12         52980344 +-   4.6   4      52980614 +-   3.1   4
13         52179547 +-   3.2   4      52179832 +-   3.3   4
14         51378764 +-   3.3   4      51379031 +-   3.5   4
15         50577972 +-   5.9   4      50578254 +-   5.0   4
16         49777159 +-   3.9   4      49777481 +-   3.5   4
17         48976347 +-   3.4   4      48976679 +-   3.2   4
18         48175547 +-   4.9   4      48175877 +-   4.7   4
19         47374755 +-   2.8   4      47375085 +-   3.6   4
20         46573954 +-   2.8   4      46574285 +-   4.4   4
21         45773163 +-   5.3   4      45773518 +-   5.2   4
22         44972363 +-   3.5   4      44972599 +-   3.8   4
23         44171569 +-   3.2   4      44171676 +-   4.8   4
24         43370769 +-   6.0   2      43370876 +-   4.0   2
25         42569946 +-   4.1   4      42570074 +-   3.7   4
26         41769134 +-   3.3   4      41769283 +-   3.5   4
27         40968339 +-   4.2   4      40968480 +-   3.9   4
28         40167522 +-   4.5   4      40167662 +-   4.1   4
29         39366733 +-   4.6   4      39366855 +-   3.7   4
30         38565938 +-   4.4   4      38566037 +-   7.1   4
31         37765141 +-   3.9   4      37765215 +-   4.3   4
32         36964352 +-   5.5   4      36964410 +-   5.2   4
33         36163567 +-   3.5   4      36163603 +-   4.6   4
34         35362769 +-   4.1   4      35362778 +-   4.3   4
35         34561956 +-   4.1   4      34561954 +-   4.0   4
36         33761158 +-   4.0   2      33761146 +-   1.0   2
37         32960372 +-   4.2   4      32960352 +-   5.2   4
38         32159567 +-   1.5   2      32159561 +-   1.5   2
39                0 +- -9999.0   0             0 +- -9999.0   0
40                0 +- -9999.0   0             0 +- -9999.0   0
41                0 +- -9999.0   0             0 +- -9999.0   0
42         29017362 +-   3.9   4      29017407 +-   3.7   4
43         28216521 +-   4.8   4      28216586 +-   4.1   4
44         27415696 +-   3.0   4      27415771 +-   3.4   4
45         26614872 +-   3.2   4      26614938 +-   3.5   4
46         25814074 +-   3.9   4      25814138 +-   4.5   4
47         25013254 +-   2.9   4      25013332 +-   3.5   4
48         24212444 +-   2.0   4      24212544 +-   3.4   4
49         23411657 +-   4.1   4      23411767 +-   4.7   4
50         22610854 +-   3.9   4      22610985 +-   4.1   4
51         21810042 +-   1.7   4      21810192 +-   3.9   4
52         21009235 +-   2.8   4      21009411 +-   4.4   4
53         20208414 +-   1.0   4      20208625 +-   2.3   4
54         19407621 +-   1.4   4      19407835 +-   3.0   4
55         18606848 +-   2.3   4      18607058 +-   5.0   4
56         17806041 +-   0.5   4      17806267 +-   1.9   4
57         17005237 +-   0.7   4      17005459 +-   1.3   4
58         16204440 +-   2.6   4      16204669 +-   5.2   4
59         15403624 +-   0.7   4      15403864 +-   2.6   4
60         14602821 +-   1.6   4      14603057 +-   3.5   4
61         13802027 +-   2.1   4      13802238 +-   2.6   4
62         13001214 +-   0.6   4      13001414 +-   1.8   4
63         12200434 +-   3.2   4      12200620 +-   3.6   4
64         11399655 +-   0.0   4      11399819 +-   0.0   4
65         10598851 +-   0.9   4      10599008 +-   1.5   4
66          9798063 +-   1.8   4       9798190 +-   2.0   4
67          8997250 +-   1.9   4       8997364 +-   1.9   4
68          8196446 +-   1.9   4       8196548 +-   1.6   4
69          7395649 +-   2.5   4       7395733 +-   2.2   4
70          6594844 +-   3.1   4       6594913 +-   1.8   4
71          5794020 +-   2.7   4       5794086 +-   3.0   4
72          4993222 +-   3.4   4       4993254 +-   4.2   4
73          4192434 +-   2.8   4       4192446 +-   3.6   4
74          3391628 +-   4.0   4       3391646 +-   3.5   4
75          2590827 +-   4.3   4       2590827 +-   3.8   4
76          1790033 +-   2.5   2       1790036 +-   0.5   2
77           989230 +-   3.0   2        989245 +-   1.5   2
78                0 +- -9999.0   0             0 +- -9999.0   0
79                0 +- -9999.0   0             0 +- -9999.0   0
80         -1413331 +-   9.1   6      -1413152 +-   3.9   6
81         -2214114 +-   9.2   6      -2213935 +-   4.5   6
82         -3014889 +-   8.8   6      -3014727 +-   2.4   6
83         -3815685 +-   9.4   6      -3815507 +-   4.6   6
84         -4616475 +-   8.8   6      -4616296 +-   3.9   6
85         -5417263 +-   9.0   6      -5417085 +-   4.3   6
86         -6218051 +-   9.9   6      -6217865 +-   4.2   6
87         -7018862 +-  10.9   6      -7018660 +-   5.3   6
88         -7819658 +-   9.7   6      -7819427 +-   3.9   6
89         -8620455 +-  12.2   6      -8620210 +-   6.9   6
90         -9421238 +-  10.9   6      -9421010 +-   5.6   6
91        -10222029 +-   9.9   6     -10221788 +-   5.2   6
